recency,frequency,monetary,cluster,Segment
326,12,77556.46,0,Champions
2,8,5633.32,0,Champions
75,5,2019.4,3,New/Promising
19,4,4428.69,1,Lost Customers
310,1,334.4,2,At-Risk Loyalists
375,1,300.93,2,At-Risk Loyalists
36,10,2849.84,0,Champions
204,2,406.76,2,At-Risk Loyalists
232,1,1079.4,2,At-Risk Loyalists
214,2,947.61,3,New/Promising
23,6,6373.68,0,Champions
33,3,18287.66,0,Champions
2,5,3887.07,0,Champions
58,10,8935.94,0,Champions
52,8,4252.89,3,New/Promising
287,4,511.25,3,New/Promising
3,11,5356.23,0,Champions
110,2,552.0,2,At-Risk Loyalists
8,4,1313.1,1,Lost Customers
291,2,641.38,2,At-Risk Loyalists
634,1,500.24,2,At-Risk Loyalists
4,1,168.9,1,Lost Customers
628,1,917.6999999999999,2,At-Risk Loyalists
413,3,1791.15,3,New/Promising
51,7,4320.31,3,New/Promising
45,5,4067.38,3,New/Promising
72,3,1298.04,3,New/Promising
311,3,1127.65,3,New/Promising
25,4,2989.2200000000003,1,Lost Customers
11,2,457.5,1,Lost Customers
390,2,503.15,2,At-Risk Loyalists
315,4,3426.32,3,New/Promising
130,2,5416.32,3,New/Promising
82,4,1620.22,3,New/Promising
22,11,9676.300000000001,0,Champions
5,5,1845.31,1,Lost Customers
185,5,1850.56,3,New/Promising
29,2,585.27,1,Lost Customers
379,1,1938.4,2,At-Risk Loyalists
338,2,660.8,2,At-Risk Loyalists
415,1,143.94,2,At-Risk Loyalists
16,8,3901.11,0,Champions
403,3,1433.33,3,New/Promising
80,1,549.84,2,At-Risk Loyalists
22,6,2773.42,0,Champions
591,1,234.75000000000003,2,At-Risk Loyalists
72,6,2399.4500000000003,3,New/Promising
64,2,1272.48,1,Lost Customers
19,15,5067.27,0,Champions
674,1,931.43,2,At-Risk Loyalists
36,2,2409.9,1,Lost Customers
46,1,1635.6599999999999,1,Lost Customers
119,7,1962.3,3,New/Promising
414,1,205.25,2,At-Risk Loyalists
303,1,84.3,2,At-Risk Loyalists
323,6,1256.9,3,New/Promising
50,2,1019.36,1,Lost Customers
682,1,63.24,2,At-Risk Loyalists
149,1,1710.39,3,New/Promising
22,5,6390.36,0,Champions
50,5,1708.1200000000001,3,New/Promising
33,8,4340.7699999999995,0,Champions
79,7,23419.29,0,Champions
309,3,1013.71,3,New/Promising
410,1,346.9,2,At-Risk Loyalists
75,6,2596.93,3,New/Promising
67,4,999.45,3,New/Promising
217,6,952.41,3,New/Promising
24,28,144458.37,0,Champions
657,1,202.56,2,At-Risk Loyalists
3,20,6816.91,0,Champions
113,4,2021.2,3,New/Promising
386,2,503.01,2,At-Risk Loyalists
