customer_id,recency,frequency,monetary,cluster,Segment
12346,326,12,77556.46,1,Lost Customers
12347,2,8,5633.32,1,Lost Customers
12348,75,5,2019.4,0,Champions
12349,19,4,4428.69,2,At-Risk Loyalists
12350,310,1,334.4,3,New/Promising
12351,375,1,300.93,3,New/Promising
12352,36,10,2849.84,1,Lost Customers
12353,204,2,406.76,3,New/Promising
12354,232,1,1079.4,3,New/Promising
12355,214,2,947.61,0,Champions
12356,23,6,6373.68,1,Lost Customers
12357,33,3,18287.66,1,Lost Customers
12358,2,5,3887.07,1,Lost Customers
12359,58,10,8935.94,1,Lost Customers
12360,52,8,4252.89,1,Lost Customers
12361,287,4,511.25,0,Champions
12362,3,11,5356.23,1,Lost Customers
12363,110,2,552.0,3,New/Promising
12364,8,4,1313.1,2,At-Risk Loyalists
12365,291,2,641.38,3,New/Promising
12366,634,1,500.24,3,New/Promising
12367,4,1,168.9,2,At-Risk Loyalists
12368,628,1,917.6999999999999,3,New/Promising
12369,413,3,1791.15,0,Champions
12370,51,7,4320.31,1,Lost Customers
12371,45,5,4067.38,0,Champions
12372,72,3,1298.04,0,Champions
12373,311,3,1127.65,0,Champions
12374,25,4,2989.2200000000003,2,At-Risk Loyalists
12375,11,2,457.5,2,At-Risk Loyalists
12376,390,2,503.15,3,New/Promising
12377,315,4,3426.32,0,Champions
12378,130,2,5416.32,0,Champions
12379,82,4,1620.22,0,Champions
12380,22,11,9676.300000000001,1,Lost Customers
12381,5,5,1845.31,2,At-Risk Loyalists
12383,185,5,1850.56,0,Champions
12384,29,2,585.27,2,At-Risk Loyalists
12385,379,1,1938.4,0,Champions
12386,338,2,660.8,3,New/Promising
12387,415,1,143.94,3,New/Promising
12388,16,8,3901.11,1,Lost Customers
12389,403,3,1433.33,0,Champions
12390,80,1,549.84,3,New/Promising
12391,22,6,2773.42,1,Lost Customers
12392,591,1,234.75000000000003,3,New/Promising
12393,72,6,2399.4500000000003,0,Champions
12394,64,2,1272.48,2,At-Risk Loyalists
12395,19,15,5067.27,1,Lost Customers
12396,674,1,931.43,3,New/Promising
12397,36,2,2409.9,2,At-Risk Loyalists
12398,46,1,1635.6599999999999,2,At-Risk Loyalists
12399,119,7,1962.3,0,Champions
12400,414,1,205.25,3,New/Promising
12401,303,1,84.3,3,New/Promising
12402,323,6,1256.9,0,Champions
12403,50,2,1019.36,2,At-Risk Loyalists
12404,682,1,63.24,3,New/Promising
12405,149,1,1710.39,0,Champions
12406,22,5,6390.36,1,Lost Customers
12407,50,5,1708.1200000000001,0,Champions
12408,33,8,4340.7699999999995,1,Lost Customers
12409,79,7,23419.29,1,Lost Customers
12410,309,3,1013.71,0,Champions
12411,410,1,346.9,3,New/Promising
12412,75,6,2596.93,0,Champions
12413,67,4,999.45,0,Champions
12414,217,6,952.41,0,Champions
